Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR19075232	GSM6102533: Control Patient 2 - Control Endometrium; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	664916	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075232/SRR19075232.sra	SRR19075232.sra	SRR19075232_GSM6102533_Control_Patient_2_-_Control_Endometrium_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075232_GSM6102533_Control_Patient_2_-_Control_Endometrium_Homo_sapiens_RNA-Seq
SRR19075233	GSM6102534: Control Patient 3 - Control Endometrium; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	531169	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075233/SRR19075233.sra	SRR19075233.sra	SRR19075233_GSM6102534_Control_Patient_3_-_Control_Endometrium_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075233_GSM6102534_Control_Patient_3_-_Control_Endometrium_Homo_sapiens_RNA-Seq
SRR21658723	GSM6595258: Endometriosis Patient 9 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	724847	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658723/SRR21658723.sra	SRR21658723.sra	SRR21658723_GSM6595258_Endometriosis_Patient_9_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658723_GSM6595258_Endometriosis_Patient_9_-_Ectopic_Homo_sapiens_RNA-Seq
SRR21658717	GSM6595252: Endometriosis Patient 3 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	624212	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658717/SRR21658717.sra	SRR21658717.sra	SRR21658717_GSM6595252_Endometriosis_Patient_3_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658717_GSM6595252_Endometriosis_Patient_3_-_Ectopic_Homo_sapiens_RNA-Seq
SRR19075250	GSM6102551: Endometriosis Patient 6 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	337585	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075250/SRR19075250.sra	SRR19075250.sra	SRR19075250_GSM6102551_Endometriosis_Patient_6_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075250_GSM6102551_Endometriosis_Patient_6_-_Eutopic_Homo_sapiens_RNA-Seq
SRR21658714	GSM6595249: Endometriosis Patient 1 - Ectopic Adjacent; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	619689	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658714/SRR21658714.sra	SRR21658714.sra	SRR21658714_GSM6595249_Endometriosis_Patient_1_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658714_GSM6595249_Endometriosis_Patient_1_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq
SRR19075289	GSM6102590: Endometriosis Patient 17 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	27006	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075289/SRR19075289.sra	SRR19075289.sra	SRR19075289_GSM6102590_Endometriosis_Patient_17_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/089/SRR19075289/SRR19075289.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/089/SRR19075289/SRR19075289.fastq.gz	SRR19075289.fastq.gz	SRR19075289_GSM6102590_Endometriosis_Patient_17_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075253	GSM6102554: Endometriosis Patient 7 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	591152	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075253/SRR19075253.sra	SRR19075253.sra	SRR19075253_GSM6102554_Endometriosis_Patient_7_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075253_GSM6102554_Endometriosis_Patient_7_-_Eutopic_Homo_sapiens_RNA-Seq
SRR19075272	GSM6102573: Endometriosis Patient 5 - Ectopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	43653	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075272/SRR19075272.sra	SRR19075272.sra	SRR19075272_GSM6102573_Endometriosis_Patient_5_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/072/SRR19075272/SRR19075272.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/072/SRR19075272/SRR19075272.fastq.gz	SRR19075272.fastq.gz	SRR19075272_GSM6102573_Endometriosis_Patient_5_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075280	GSM6102581: Endometriosis Patient 13 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	41009	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075280/SRR19075280.sra	SRR19075280.sra	SRR19075280_GSM6102581_Endometriosis_Patient_13_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/080/SRR19075280/SRR19075280.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/080/SRR19075280/SRR19075280.fastq.gz	SRR19075280.fastq.gz	SRR19075280_GSM6102581_Endometriosis_Patient_13_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR21658724	GSM6595259: Endometriosis Patient 9 - Ectopic Adjacent-1; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	109286	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658724/SRR21658724.sra	SRR21658724.sra	SRR21658724_GSM6595259_Endometriosis_Patient_9_-_Ectopic_Adjacent-1_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658724_GSM6595259_Endometriosis_Patient_9_-_Ectopic_Adjacent-1_Homo_sapiens_RNA-Seq
SRR19075283	GSM6102584: Endometriosis Patient 15 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	27432	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075283/SRR19075283.sra	SRR19075283.sra	SRR19075283_GSM6102584_Endometriosis_Patient_15_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/083/SRR19075283/SRR19075283.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/083/SRR19075283/SRR19075283.fastq.gz	SRR19075283.fastq.gz	SRR19075283_GSM6102584_Endometriosis_Patient_15_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR21658721	GSM6595256: Endometriosis Patient 5 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	574552	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658721/SRR21658721.sra	SRR21658721.sra	SRR21658721_GSM6595256_Endometriosis_Patient_5_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658721_GSM6595256_Endometriosis_Patient_5_-_Ectopic_Homo_sapiens_RNA-Seq
SRR19075242	GSM6102543: Endometriosis Patient 3 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	758866	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075242/SRR19075242.sra	SRR19075242.sra	SRR19075242_GSM6102543_Endometriosis_Patient_3_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075242_GSM6102543_Endometriosis_Patient_3_-_Eutopic_Homo_sapiens_RNA-Seq
SRR19075278	GSM6102579: Endometriosis Patient 13 - Ectopic Ovary - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	37201	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075278/SRR19075278.sra	SRR19075278.sra	SRR19075278_GSM6102579_Endometriosis_Patient_13_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/078/SRR19075278/SRR19075278.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/078/SRR19075278/SRR19075278.fastq.gz	SRR19075278.fastq.gz	SRR19075278_GSM6102579_Endometriosis_Patient_13_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075262	GSM6102563: Patient-Derived Organoid - E02/E03/E10; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	672414	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075262/SRR19075262.sra	SRR19075262.sra	SRR19075262_GSM6102563_Patient-Derived_Organoid_-_E02_E03_E10_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075262_GSM6102563_Patient-Derived_Organoid_-_E02_E03_E10_Homo_sapiens_RNA-Seq
SRR19075282	GSM6102583: Endometriosis Patient 14 - Ectopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	32480	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075282/SRR19075282.sra	SRR19075282.sra	SRR19075282_GSM6102583_Endometriosis_Patient_14_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/082/SRR19075282/SRR19075282.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/082/SRR19075282/SRR19075282.fastq.gz	SRR19075282.fastq.gz	SRR19075282_GSM6102583_Endometriosis_Patient_14_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR21658716	GSM6595251: Endometriosis Patient 2 - Ectopic Adjacent; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	690208	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658716/SRR21658716.sra	SRR21658716.sra	SRR21658716_GSM6595251_Endometriosis_Patient_2_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658716_GSM6595251_Endometriosis_Patient_2_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq
SRR19075288	GSM6102589: Endometriosis Patient 17 - Ectopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	24496	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075288/SRR19075288.sra	SRR19075288.sra	SRR19075288_GSM6102589_Endometriosis_Patient_17_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/088/SRR19075288/SRR19075288.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/088/SRR19075288/SRR19075288.fastq.gz	SRR19075288.fastq.gz	SRR19075288_GSM6102589_Endometriosis_Patient_17_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075265	GSM6102566: Cell Hashing for EOR03; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	102505	1652155200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075265/SRR19075265.sra	SRR19075265.sra	SRR19075265_GSM6102566_Cell_Hashing_for_EOR03_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19075265/SRR19075265_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/065/SRR19075265/SRR19075265_1.fastq.gz	SRR19075265_1.fastq.gz	SRR19075265_GSM6102566_Cell_Hashing_for_EOR03_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR19075265	GSM6102566: Cell Hashing for EOR03; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	102505	1652155200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075265/SRR19075265.sra	SRR19075265.sra	SRR19075265_GSM6102566_Cell_Hashing_for_EOR03_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19075265/SRR19075265_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/065/SRR19075265/SRR19075265_2.fastq.gz	SRR19075265_2.fastq.gz	SRR19075265_GSM6102566_Cell_Hashing_for_EOR03_Homo_sapiens_RNA-Seq_2.fastq.gz
